fecha_estandar,iva_tendencia,iva_estacional,iva_residuo,pib_tendencia,pib_estacional,pib_residuo
2009-05-01,5761351.060019208,1662445.4948606137,-1373207.6539338222,19626000000.0,-940413194.4444455,-152786805.5555545
2009-06-01,5749803.636614666,1097396.7859525331,-130644.11215319904,19544333333.333336,-397407638.8888886,-52525694.44444728
2009-07-01,5759801.199902916,48928.541928894476,-337907.366983811,19655466666.666664,-55379861.111112036,-131286805.5555521
2009-08-01,5804735.647244249,-1731673.04140598,2212708.4163527316,19971258333.333332,1194118750.0000002,-479777083.3333323
2009-09-01,5841810.0348207075,2010386.4330805237,-1222288.724249232,20301625000.0,1124513194.4444444,-740538194.4444444
2009-10-01,5784611.861123292,-2486405.744737287,1221378.465564996,20646566666.666664,-61729861.111110255,-928836805.5555539
2009-11-01,5742009.825788042,347880.96014248225,-406786.95733652374,20996366666.666664,1281836805.5555573,-1311803472.2222176
2009-12-01,5719792.165184375,-2469701.3240494556,713480.5472590807,21351466666.666664,5458820138.888893,-1912686805.5555534
2010-01-01,5700610.9317495,2831052.102447535,-1683535.529986035,21715400000.0,-2942724305.5555573,1432124305.5555573
2010-02-01,5702419.441520333,-2238579.2317563733,1684690.6005130392,22094350000.0,-2441215972.2222233,1183065972.2222233
2010-03-01,5704736.3661685,-705508.1765265567,337865.65585605707,22484783333.333336,-1360777083.333335,974993749.999999
2010-04-01,5736323.582586166,1633777.2000630703,-1407307.130696237,22865500000.0,-859640972.2222232,724540972.2222232
2010-05-01,5775550.289261334,1662445.4948606137,-812074.9901209464,23248866666.666664,-940413194.4444455,421946527.77778137
2010-06-01,5830302.959893124,1097396.7859525331,-1319699.1829746575,23681700000.0,-397407638.8888886,134907638.8888886
2010-07-01,5899589.292035166,48928.541928894476,170510.68598993903,24057466666.666668,-55379861.111112036,-123686805.55555591
2010-08-01,5942683.290631917,-1731673.04140598,1469958.8623590642,24343466666.666668,1194118750.0000002,-166785416.66666818
2010-09-01,5976153.872491792,2010386.4330805237,-696224.4597583138,24642666666.666668,1124513194.4444444,-396379861.11111236
2010-10-01,6155096.704232916,-2486405.744737287,948578.7143173711,24955066666.666668,-61729861.111110255,-785336805.5555539
2010-11-01,6391487.943492667,347880.96014248225,-212509.206699148,25271866666.666668,1281836805.5555573,-838503472.2222214
2010-12-01,6655310.815095458,-2469701.3240494556,248270.12416899716,25593466666.666668,5458820138.888893,-515486805.55555344
2011-01-01,6858218.058931376,2831052.102447535,-1648578.9125799108,25923066666.666664,-2942724305.5555573,603657638.8888931
2011-02-01,6870065.836920584,-2238579.2317563733,358736.4268467901,26266266666.666664,-2441215972.2222233,495949305.55555916
2011-03-01,6942412.685252124,-705508.1765265567,61791.07967543136,26619866666.666664,-1360777083.333335,535910416.6666708
2011-04-01,7046102.306360374,1633777.2000630703,615940.3644135548,26964666666.666668,-859640972.2222232,426974305.5555552
2011-05-01,7096992.788620541,1662445.4948606137,206846.0338698458,27311866666.666668,-940413194.4444455,160546527.77777755
2011-06-01,7178183.585391333,1097396.7859525331,1323805.586644133,27703866666.666664,-397407638.8888886,29540972.22222829
2011-07-01,7248807.4558385,48928.541928894476,-300319.02086839324,28019333333.333336,-55379861.111112036,-91953472.22222385
2011-08-01,7324532.210276499,-1731673.04140598,-505931.8424895196,28227875000.0,1194118750.0000002,192006250.00000358
2011-09-01,7390934.148925375,2010386.4330805237,219361.40896909917,28446041666.666668,1124513194.4444444,43445138.88889146
2011-10-01,7616336.098941041,-2486405.744737287,-354475.918953754,28673833333.333336,-61729861.111110255,-472103472.2222218
2011-11-01,7823188.515758916,347880.96014248225,-581022.9661583977,28904833333.333336,1281836805.5555573,-170670138.8888893
2011-12-01,8004997.724808124,-2469701.3240494556,-216024.47585166758,29139333333.333336,5458820138.888893,1045846527.7777786
2012-01-01,8194993.729725499,2831052.102447535,-2175774.002334033,29379666666.666668,-2942724305.5555573,-388942361.1111107
2012-02-01,8221287.220103874,-2238579.2317563733,15328.569135498255,29629916666.666664,-2441215972.2222233,-326700694.44444084
2012-03-01,8232412.374691291,-705508.1765265567,-642375.6076627355,29887750000.0,-1360777083.333335,-36972916.66666508
2012-04-01,8237136.661497499,1633777.2000630703,4248719.8075514315,30139166666.666664,-859640972.2222232,24474305.55555904
2012-05-01,8252331.152582749,1662445.4948606137,-807848.1247383645,30392333333.333336,-940413194.4444455,-147920138.8888904
2012-06-01,8261876.453933207,1097396.7859525331,4462889.52992926,30678166666.666668,-397407638.8888886,-88759027.77777553
2012-07-01,8297103.081736291,48928.541928894476,-1011487.3405761874,30862666666.666668,-55379861.111112036,-23286805.555555902
2012-08-01,8407133.247748123,-1731673.04140598,-1294616.4170701434,30922250000.000004,1194118750.0000002,591631249.9999998
2012-09-01,8480942.492207084,2010386.4330805237,-897559.6871056068,30984583333.333336,1124513194.4444444,598903472.2222235
2012-10-01,8405054.195223166,-2486405.744737287,-1002898.379093878,31049666666.66667,-61729861.111110255,92063194.44444232
2012-11-01,8366635.988439124,347880.96014248225,-900098.2889346064,31115666666.66667,1281836805.5555573,754496527.7777748
2012-12-01,8352653.476000791,-2469701.3240494556,-558965.1445373367,31182666666.666668,5458820138.888893,2726513194.4444466
2013-01-01,8346948.6810047915,2831052.102447535,-1487004.9688463267,31251333333.333336,-2942724305.5555573,-1556609027.7777786
2013-02-01,8435548.02911475,-2238579.2317563733,1601067.759641624,31322833333.333336,-2441215972.2222233,-1293617361.1111126
2013-03-01,8558626.248845834,-705508.1765265567,-997167.6143192779,31396500000.0,-1360777083.333335,-775722916.6666651
2013-04-01,8669064.85015525,1633777.2000630703,2024050.623781681,31468333333.333332,-859640972.2222232,-512692361.1111089
2013-05-01,8742156.860820292,1662445.4948606137,-426969.8006809056,31540666666.666664,-940413194.4444455,-504253472.22221863
2013-06-01,8798933.47244275,1097396.7859525331,2719548.1806047163,31622333333.333332,-397407638.8888886,-216925694.44443965
2013-07-01,8908367.76752525,48928.541928894476,-553382.7754541446,31660800000.0,-55379861.111112036,10579861.111112036
2013-08-01,9035024.374179874,-1731673.04140598,-865492.4397738934,31648883333.333336,1194118750.0000002,748997916.6666677
2013-09-01,9124502.651987832,2010386.4330805237,355742.32293164404,31636416666.666668,1124513194.4444444,831070138.8888915
2013-10-01,9183159.428178249,-2486405.744737287,-1027339.3504409622,31623400000.0,-61729861.111110255,358329861.1111141
2013-11-01,9248240.381394166,347880.96014248225,-781158.6875366496,31610200000.0,1281836805.5555573,1155963194.4444466
2013-12-01,9254654.04995929,-2469701.3240494556,-1098871.0339098354,31596800000.0,5458820138.888893,3376379861.1111145
2014-01-01,9223099.123166416,2831052.102447535,-98827.01361395139,31583066666.66667,-2942724305.5555573,-2029142361.1111145
2014-02-01,9230026.304997832,-2238579.2317563733,1582019.646075542,31568766666.66667,-2441215972.2222233,-1684750694.4444485
2014-03-01,9267080.486978415,-705508.1765265567,-333573.34737785906,31554033333.333336,-1360777083.333335,-1087256250.000001
2014-04-01,9345985.751372334,1633777.2000630703,1382843.8460605964,31539666666.666668,-859640972.2222232,-742425694.4444448
2014-05-01,9414028.884742916,1662445.4948606137,427386.92908247,31525200000.0,-940413194.4444455,-647186805.5555545
2014-06-01,9494530.362319125,1097396.7859525331,651650.5826053428,31508866666.666668,-397407638.8888886,-266659027.77777553
2014-07-01,9585115.849845707,48928.541928894476,-615148.3926806018,31250666666.666668,-55379861.111112036,254313194.4444441
2014-08-01,9562642.541474042,-1731673.04140598,-1841840.7082080622,30744208333.333332,1194118750.0000002,1476872916.6666715
2014-09-01,9517046.44464004,2010386.4330805237,1301228.998953436,30214375000.0,1124513194.4444444,2076311805.5555594
2014-10-01,9605423.392879542,-2486405.744737287,-893907.4383622538,29661166666.666664,-61729861.111110255,2152563194.44445
2014-11-01,9721453.13844296,347880.96014248225,-177032.1204714423,29100166666.666664,1281836805.5555573,3486796527.7777824
2014-12-01,9823600.102716833,-2469701.3240494556,-813120.9489523773,28530666666.666664,5458820138.888893,6229713194.44445
2015-01-01,9897006.104713876,2831052.102447535,546621.5677615898,27947000000.0,-2942724305.5555573,-4377075694.444443
2015-02-01,9965916.360526916,-2238579.2317563733,-1012585.3732965421,27339250000.0,-2441215972.2222233,-3626234027.7777767
2015-03-01,10072609.875861418,-705508.1765265567,-374694.09643386025,26713083333.333332,-1360777083.333335,-2791306249.999997
2015-04-01,10185389.404737167,1633777.2000630703,1900078.3106167633,26102500000.0,-859640972.2222232,-2037259027.7777767
2015-05-01,10246308.405244833,1662445.4948606137,1023183.1841815542,25487666666.666664,-940413194.4444455,-1341653472.2222185
2015-06-01,10286743.265205458,1097396.7859525331,882889.0466910093,24793500000.0,-397407638.8888886,-487292361.1111114
2015-07-01,10344915.787784042,48928.541928894476,-636655.6496619355,24384400000.0,-55379861.111112036,48579861.111112036
2015-08-01,10381976.281246709,-1731673.04140598,-1745620.9894247283,24318858333.333336,1194118750.0000002,388222916.6666639
2015-09-01,10397776.037006292,2010386.4330805237,2065590.3160591838,24250291666.666668,1124513194.4444444,526395138.88888764
2015-10-01,10430052.321636252,-2486405.744737287,-656918.5835729651,24178700000.0,-61729861.111110255,495029861.1111141
2015-11-01,10450466.855839333,347880.96014248225,-505607.60922981444,24106100000.0,1281836805.5555573,864863194.4444466
2015-12-01,10498924.955718333,-2469701.3240494556,-918447.391536878,24032400000.0,5458820138.888893,1683979861.1111145
2016-01-01,10550077.499206584,2831052.102447535,719692.3047378818,23956866666.666668,-2942724305.5555573,-1161342361.1111107
2016-02-01,10558344.510974457,-2238579.2317563733,-1541703.8121090839,23878216666.666664,-2441215972.2222233,-963800694.4444408
2016-03-01,10550639.464744084,-705508.1765265567,-536839.2587215276,23797183333.333336,-1360777083.333335,-722406250.000001
2016-04-01,10526814.348351832,1633777.2000630703,2017399.7715260964,23718166666.666668,-859640972.2222232,-524125694.4444448
2016-05-01,10528194.519117415,1662445.4948606137,772499.4866589718,23638600000.0,-940413194.4444455,-363786805.5555545
2016-06-01,10552129.221582498,1097396.7859525331,1749295.0710599679,23548766666.666668,-397407638.8888886,-140159027.77777934
2016-07-01,10605679.822636332,48928.541928894476,-801550.6215422262,23585066666.666664,-55379861.111112036,-67286805.5555521
2016-08-01,10663029.177681582,-1731673.04140598,-1924134.666402603,23757858333.333332,1194118750.0000002,-23177083.3333323
2016-09-01,10712819.404861081,2010386.4330805237,1463086.6192183946,23938625000.0,1124513194.4444444,-134338194.44444442
2016-10-01,10742324.77148404,-2486405.744737287,-1253533.497848751,24127366666.666664,-61729861.111110255,-377636805.55555385
2016-11-01,10793024.263074791,347880.96014248225,-530698.453663273,24318766666.666664,1281836805.5555573,-333403472.2222214
2016-12-01,10848715.313444583,-2469701.3240494556,-1011271.4529031268,24513066666.666664,5458820138.888893,32913194.44444275
2017-01-01,10911581.895541666,2831052.102447535,1386436.0373347988,24712200000.0,-2942724305.5555573,124924305.55555725
2017-02-01,11008774.073441874,-2238579.2317563733,-1643996.9824225,24919550000.0,-2441215972.2222233,100265972.22222328
2017-03-01,11094773.568434749,-705508.1765265567,-234144.30225819256,25133183333.333336,-1360777083.333335,174593749.99999905
2017-04-01,11175043.37239729,1633777.2000630703,1230470.4862776399,25341500000.0,-859640972.2222232,149340972.22222316
2017-05-01,11267573.443850081,1662445.4948606137,1388608.6213073041,25551266666.666664,-940413194.4444455,20346527.777781367
2017-06-01,11351529.757251166,1097396.7859525331,930991.6848853002,25788100000.0,-397407638.8888886,-13092361.111111403
2017-07-01,11412732.09316375,48928.541928894476,-80902.07123364287,25984133333.333336,-55379861.111112036,-53553472.22222384
2017-08-01,11488839.4187545,-1731673.04140598,-1945033.45870652,26121175000.0,1194118750.0000002,177106250.00000358
2017-09-01,11556831.897716623,2010386.4330805237,1878150.5574228526,26264541666.666668,1124513194.4444444,103345138.88889146
2017-10-01,11543646.102416582,-2486405.744737287,-1387455.964740296,26414233333.333336,-61729861.111110255,-228503472.2222218
2017-11-01,11462561.187311374,347880.96014248225,353087.4729261434,26566033333.333336,1281836805.5555573,17729861.111110687
2017-12-01,11407899.696982,-2469701.3240494556,-1108827.1656405437,26720133333.333336,5458820138.888893,911446527.7777786
2018-01-01,11423735.878927998,2831052.102447535,1881509.4450504677,26878066666.666668,-2942724305.5555573,-421742361.1111107
2018-02-01,11507096.065937415,-2238579.2317563733,-1322970.5518420422,27042516666.666664,-2441215972.2222233,-352900694.44444084
2018-03-01,11538941.821749873,-705508.1765265567,134158.51644168328,27211950000.0,-1360777083.333335,-133172916.66666508
2018-04-01,11573212.018592749,1633777.2000630703,-296628.31913381815,27377166666.666664,-859640972.2222232,-64725694.44444096
2018-05-01,11662667.441744,1662445.4948606137,176406.82010438666,27543533333.333336,-940413194.4444455,-150320138.8888904
2018-06-01,11867210.684353458,1097396.7859525331,-79457.2068129913,27731366666.666668,-397407638.8888886,-79559027.77777553
2018-07-01,12077336.81246604,48928.541928894476,129329.54076406581,27801066666.666668,-55379861.111112036,43113194.4444441
2018-08-01,12170200.055935916,-1731673.04140598,-1500585.9389619376,27735525000.000004,1194118750.0000002,595956249.9999998
2018-09-01,12261222.978659833,2010386.4330805237,812249.4590526433,27666958333.333336,1124513194.4444444,734128472.2222235
2018-10-01,12341931.222373873,-2486405.744737287,-1001746.3430415886,27595366666.666668,-61729861.111110255,522363194.44444615
2018-11-01,12465103.655969165,347880.96014248225,313480.4182423519,27522766666.666668,1281836805.5555573,1121796527.7777786
2018-12-01,12603135.085050792,-2469701.3240494556,1642039.8549436643,27449066666.666668,5458820138.888893,2629713194.4444466
2019-01-01,12723786.301764874,2831052.102447535,1678383.688262592,27373533333.333336,-2942724305.5555573,-1691609027.7777786
2019-02-01,12823782.688656498,-2238579.2317563733,-1507863.9973331196,27294883333.333336,-2441215972.2222233,-1403867361.1111126
2019-03-01,12969436.899714999,-705508.1765265567,-243579.5933774421,27213850000.0,-1360777083.333335,-982072916.6666651
2019-04-01,13124062.263534999,1633777.2000630703,-963237.6830850691,27134833333.333332,-859640972.2222232,-693592361.1111089
2019-05-01,13226480.097865833,1662445.4948606137,684491.6892785542,27055266666.666668,-940413194.4444455,-533253472.22222245
2019-06-01,13211969.577907499,1097396.7859525331,-183359.3277040315,26965433333.333336,-397407638.8888886,-211225694.44444728
2019-07-01,13230901.262913208,48928.541928894476,630537.5187918976,26764133333.333336,-55379861.111112036,164846527.77777615
2019-08-01,13368690.499794208,-1731673.04140598,-1953935.5258962284,26454300000.0,1194118750.0000002,904781250.0000036
2019-09-01,13436903.73823329,2010386.4330805237,2387128.907959186,26130166666.666668,1124513194.4444444,1298520138.8888915
2019-10-01,13328741.627086543,-2486405.744737287,-1028108.2245542547,25791733333.333336,-61729861.111110255,1401996527.7777781
2019-11-01,13090509.141414624,347880.96014248225,1185654.4335368944,25448533333.333336,1281836805.5555573,2210429861.1111107
2019-12-01,12911100.639029123,-2469701.3240494556,-511757.6787746665,25100133333.333336,5458820138.888893,3808246527.7777786
2020-01-01,12706468.370332208,2831052.102447535,3995894.0395722585,24743066666.666668,-2942724305.5555573,-2721942361.1111107
2020-02-01,12516689.999263331,-2238579.2317563733,-194022.0426729573,24371266666.666664,-2441215972.2222233,-2255450694.444441
2020-03-01,12341783.879702084,-705508.1765265567,1014441.8839064734,23988200000.0,-1360777083.333335,-1760422916.666665
2020-04-01,12205081.235197958,1633777.2000630703,-3270515.7795410287,23614666666.666664,-859640972.2222232,-1291825694.4444408
2020-05-01,12194120.801995665,1662445.4948606137,-774469.546184279,23238533333.333332,-940413194.4444455,-834920138.8888866
2020-06-01,12197276.385332,1097396.7859525331,-983149.6610475318,22813866666.666668,-397407638.8888886,-302859027.77777934
2020-07-01,12144871.070101207,48928.541928894476,-1380123.2112031018,22697733333.333332,-55379861.111112036,-95153472.22222003
2020-08-01,12070155.560362041,-1731673.04140598,-2113390.569310063,22930108333.333332,1194118750.0000002,-167827083.3333323
2020-09-01,12074948.327833623,2010386.4330805237,1009327.431734853,23173208333.333332,1124513194.4444444,-341321527.7777765
2020-10-01,12253420.039882999,-2486405.744737287,-493893.21882571187,23427033333.333332,-61729861.111110255,-601303472.2222219
2020-11-01,12526047.073624,347880.96014248225,2028172.6859475186,23684433333.333332,1281836805.5555573,-684670138.8888893
2020-12-01,12706628.34349425,-2469701.3240494556,-509607.567787793,23945733333.333332,5458820138.888893,-570153472.2222252
2021-01-01,12924521.658412166,2831052.102447535,2722435.3705012994,24213533333.333332,-2942724305.5555573,553190972.2222252
2021-02-01,13214683.726922749,-2238579.2317563733,-1629782.6230813758,24492383333.333332,-2441215972.2222233,454832638.8888912
